program,input,iteration,is_regression,regression_type,exec_key,path_score,resource_score,archetype_score,bounds_score,weighted_score,max_signal,combined_score,detected
sqlite,350,0,False,,sqlite_350_0_False,0.0,0.0,0.0,0.3,0.075,0.3,0.21,False
sqlite,350,1,False,,sqlite_350_1_False,0.0,0.8,0.0,0.0,0.2,0.8,0.5599999999999999,False
sqlite,350,2,False,,sqlite_350_2_False,0.0,0.0,0.0,0.3,0.075,0.3,0.21,False
sqlite,351,0,False,,sqlite_351_0_False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
sqlite,351,1,False,,sqlite_351_1_False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
sqlite,351,2,False,,sqlite_351_2_False,0.0,0.0,0.5,0.9,0.35,0.9,0.63,False
sqlite,352,0,False,,sqlite_352_0_False,0.0,0.0,0.5,0.0,0.125,0.5,0.35,False
sqlite,352,1,False,,sqlite_352_1_False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
sqlite,352,2,False,,sqlite_352_2_False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
sqlite,353,0,False,,sqlite_353_0_False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
sqlite,353,1,False,,sqlite_353_1_False,0.0,0.6,0.0,0.0,0.15,0.6,0.42,False
sqlite,353,2,False,,sqlite_353_2_False,0.0,0.0,0.6,0.0,0.15,0.6,0.42,False
sqlite,354,0,False,,sqlite_354_0_False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
sqlite,354,1,False,,sqlite_354_1_False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
sqlite,354,2,False,,sqlite_354_2_False,0.0,0.8,0.0,0.0,0.2,0.8,0.5599999999999999,False
sqlite,355,0,False,,sqlite_355_0_False,0.0,1.0,0.0,0.0,0.25,1.0,0.7,True
sqlite,355,1,False,,sqlite_355_1_False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
sqlite,355,2,False,,sqlite_355_2_False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
sqlite,356,0,False,,sqlite_356_0_False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
sqlite,356,1,False,,sqlite_356_1_False,0.0,0.8,0.0,0.3,0.275,0.8,0.5599999999999999,False
sqlite,356,2,False,,sqlite_356_2_False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
sqlite,357,0,False,,sqlite_357_0_False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
sqlite,357,1,False,,sqlite_357_1_False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
sqlite,357,2,False,,sqlite_357_2_False,0.0,0.0,0.0,0.3,0.075,0.3,0.21,False
sqlite,358,0,False,,sqlite_358_0_False,0.0,0.0,0.6,0.0,0.15,0.6,0.42,False
sqlite,358,1,False,,sqlite_358_1_False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
sqlite,358,2,False,,sqlite_358_2_False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
sqlite,359,0,False,,sqlite_359_0_False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
sqlite,359,1,False,,sqlite_359_1_False,0.0,0.0,0.0,0.3,0.075,0.3,0.21,False
sqlite,359,2,False,,sqlite_359_2_False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
sqlite,360,0,False,,sqlite_360_0_False,0.0,0.0,0.0,0.3,0.075,0.3,0.21,False
sqlite,360,1,False,,sqlite_360_1_False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
sqlite,360,2,False,,sqlite_360_2_False,0.0,0.0,0.5,0.3,0.2,0.5,0.35,False
sqlite,361,0,False,,sqlite_361_0_False,0.0,0.8,0.0,0.3,0.275,0.8,0.5599999999999999,False
sqlite,361,1,False,,sqlite_361_1_False,0.0,0.0,0.0,0.5,0.125,0.5,0.35,False
sqlite,361,2,False,,sqlite_361_2_False,0.0,0.8,0.0,0.0,0.2,0.8,0.5599999999999999,False
sqlite,362,0,False,,sqlite_362_0_False,1.0,0.6,0.7,0.0,0.575,1.0,0.7,True
sqlite,362,1,False,,sqlite_362_1_False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
sqlite,362,2,False,,sqlite_362_2_False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
sqlite,363,0,False,,sqlite_363_0_False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
sqlite,363,1,False,,sqlite_363_1_False,0.0,0.8,0.0,0.3,0.275,0.8,0.5599999999999999,False
sqlite,363,2,False,,sqlite_363_2_False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
sqlite,364,0,False,,sqlite_364_0_False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
sqlite,364,1,False,,sqlite_364_1_False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
sqlite,364,2,False,,sqlite_364_2_False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
sqlite,365,0,False,,sqlite_365_0_False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
sqlite,365,1,False,,sqlite_365_1_False,0.0,0.6,0.0,0.0,0.15,0.6,0.42,False
sqlite,365,2,False,,sqlite_365_2_False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
sqlite,366,0,False,,sqlite_366_0_False,0.0,0.8,0.0,0.0,0.2,0.8,0.5599999999999999,False
sqlite,366,1,False,,sqlite_366_1_False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
